IDCentro,Client,Channel 1,Channel 2,CD
AV53,12516603,UC,UC,CD Bosa UDC
AV19,12527497,UC,UC,CD Villavicencio
AV05,14136585,UC,UC,CD Itagüi
AV55,11100661,UC,UC,CD Girardota
AV22,12300135,UC,UC,CD Armenia
AV05,12720427,UC,UC,CD Itagüi
AV23,10455088,UC,UC,CD Bucaramanga
AV50,12576125,UC,UC,CD Siberia
AV46,14186792,UC,UC,CD Cali
AV26,10749333,UC,UC,CD Autosur
AV47,12724529,UC,UC,CD Sibate
AV55,14027503,UC,UC,CD Girardota
AV20,11399652,UC,UC,CD Cucuta
AV10,12995380,UC,UC,CD Turbaco
AV05,14145325,UC,UC,CD Itagüi
AV16,11415389,UC,UC,CD Pereira
AV50,12717653,UC,UC,CD Siberia
AV16,11420245,UC,UC,CD Pereira
AV05,14145895,UC,UC,CD Itagüi
AV42,13997066,UC,UC,CD Tunja
AV55,12240581,UC,UC,CD Girardota
AV53,13670839,UC,UC,CD Bosa UDC
AV23,10460617,UC,UC,CD Bucaramanga
AV50,12567478,UC,UC,CD Siberia
AV16,12555478,UC,UC,CD Pereira
AV23,12624695,UC,UC,CD Bucaramanga
AV17,10346502,UC,UC,CD Girardot
AV19,12791469,UC,UC,CD Villavicencio
AV04,11227116,UC,UC,CD Tibasosa
AV47,12401251,UC,UC,CD Sibate
AV42,10294549,UC,UC,CD Tunja
AV24,14176792,UC,UC,CD Yopal
AV18,13052815,UC,UC,CD Neiva
AV50,12237927,UC,UC,CD Siberia
AV19,14050827,UC,UC,CD Villavicencio
AV54,11280296,UC,UC,CD Engativa UDC
AV39,13757946,UC,UC,CD Monteria
AV37,14096258,UC,UC,CD Barrancabermeja
AV32,13946063,UC,UC,CD Magangue
AV24,13961699,UC,UC,CD Yopal
AV26,10747777,UC,UC,CD Autosur
AV13,11428064,UC,UC,CD Corozal
AV46,11054461,UC,UC,CD Cali
AV05,14122972,UC,UC,CD Itagüi
AV22,12620583,UC,UC,CD Armenia
AV26,14097023,UC,UC,CD Autosur
AV42,13970119,UC,UC,CD Tunja
AV18,13686400,UC,UC,CD Neiva
AV50,13993500,UC,UC,CD Siberia
AV47,13976096,UC,UC,CD Sibate
AV26,11128694,UC,UC,CD Autosur
AV47,12711681,UC,UC,CD Sibate
AV05,12302729,UD DSD,UD DSD,CD Itagüi
AV71,10613123,UC,UC,CD Chapinero UDC
AV23,10447821,UC,UC,CD Bucaramanga
AV47,14122547,UC,UC,CD Sibate
AV04,11246372,UC,UC,CD Tibasosa
AV26,10744799,UC,UC,CD Autosur
AV04,12569974,UC,UC,CD Tibasosa
AV22,13181529,UC,UC,CD Armenia
AV12,14016975,UC,UC,CD Valledupar
AV49,13948095,UC,UC,CD Metroparque
AV19,13192253,UC,UC,CD Villavicencio
AV42,13968582,UC,UC,CD Tunja
AV16,10421580,UC,UC,CD Pereira
AV26,10758370,KA,UC,CD Autosur
AV06,14025975,UC,UC,CD Tocancipa
AV12,13586603,UC,UC,CD Valledupar
AV26,10757186,UC,UC,CD Autosur
AV33,14097272,UC,UC,CD Aguachica
AV35,13861935,UC,UC,CD San Gil
AV46,11045909,UC,UC,CD Cali
AV78,12563078,UC,UC,CD Montevideo
AV12,11014603,UC,UC,CD Valledupar
AV26,13109264,UC,UC,CD Autosur
AV20,13230958,UC,UC,CD Cucuta
AV26,10750562,UC,UC,CD Autosur
AV23,13314702,UC,UC,CD Bucaramanga
AV19,14039496,UC,UC,CD Villavicencio
AV04,11704132,UC,UC,CD Tibasosa
AV78,12535305,UC,UC,CD Montevideo
AV04,12243062,UC,UC,CD Tibasosa
AV20,10384413,UC,UC,CD Cucuta
AV26,13878594,UC,UC,CD Autosur
AV26,13181193,KA,UC,CD Autosur
AV71,11758147,UC,UC,CD Chapinero UDC
AV06,10795478,KA,KA,CD Tocancipa
AV27,14147578,UC,UC,CD Ibague
AV13,12937723,UC,UC,CD Corozal
AV78,13344887,KA,UC,CD Montevideo
AV34,13169720,UC,UC,CD Puente Nacional
AV27,14130983,UC,UC,CD Ibague
AV27,12262324,UC,UC,CD Ibague
AV17,10987618,UC,UC,CD Girardot
AV06,10794884,KA,KA,CD Tocancipa
AV53,11792167,UC,UC,CD Bosa UDC
AV10,13985712,UC,UC,CD Turbaco
AV71,12270668,UC,UC,CD Chapinero UDC
AV26,12733914,UC,UC,CD Autosur
AV49,11343095,UC,UC,CD Metroparque
AV42,13812794,UC,UC,CD Tunja
AV12,10316711,UC,UC,CD Valledupar
AV30,10274198,UC,UC,CD Riohacha
AV46,12653025,UD DSD,UD DSD,CD Cali
AV06,14183497,UC,UC,CD Tocancipa
AV17,10341729,UC,UC,CD Girardot
AV52,12713529,UC,UC,CD Aranjuez UDC
AV11,11368100,UC,UC,CD Santa Marta
AV19,13182948,UC,UC,CD Villavicencio
AV06,11053812,UC,UC,CD Tocancipa
AV24,13328724,UC,UC,CD Yopal
AV23,10464847,UC,UC,CD Bucaramanga
AV17,13506565,UC,UC,CD Girardot
AV35,14088975,UC,UC,CD San Gil
AV13,14136889,UC,UC,CD Corozal
AV46,11055825,UD DSD,UD DSD,CD Cali
AV20,11567380,UC,UC,CD Cucuta
AV46,13988737,UC,UC,CD Cali
AV17,13819786,UC,UC,CD Girardot
AV26,10750021,UC,UC,CD Autosur
AV17,13814310,UC,UC,CD Girardot
AV26,10749611,UC,UC,CD Autosur
AV19,14047877,UC,UC,CD Villavicencio
AV18,12225189,KA,KA,CD Neiva
AV17,13532400,UC,UC,CD Girardot
AV12,13010805,UC,UC,CD Valledupar
AV26,10744878,UC,UC,CD Autosur
AV26,13722214,UC,UC,CD Autosur
AV17,13959782,UC,UC,CD Girardot
AV55,11437746,UC,UC,CD Girardota
AV73,13760617,UC,UC,CD El Jardin UDC
AV26,10744308,UC,UC,CD Autosur
AV55,13476682,UC,UC,CD Girardota
AV26,10754187,UC,UC,CD Autosur
AV27,14133267,UC,UC,CD Ibague
AV06,13044098,UC,UC,CD Tocancipa
AV50,12689809,UC,UC,CD Siberia
AV55,14012404,UC,UC,CD Girardota
AV04,12392984,UC,UC,CD Tibasosa
AV26,10750716,UC,UC,CD Autosur
AV06,12219619,UC,UC,CD Tocancipa
AV50,13407855,UC,UC,CD Siberia
AV23,12922035,UC,UC,CD Bucaramanga
AV19,14028628,UC,UC,CD Villavicencio
AV26,10746178,UC,UC,CD Autosur
AV10,13055083,UC,UC,CD Turbaco
AV12,13770176,UC,UC,CD Valledupar
AV20,10386287,UC,UC,CD Cucuta
AV46,11675932,UC,UC,CD Cali
AV49,13477013,UC,UC,CD Metroparque
AV35,12112205,UC,UC,CD San Gil
AV46,11509523,UD DSD,UD DSD,CD Cali
AV30,13762633,UC,UC,CD Riohacha
AV42,12467737,UC,UC,CD Tunja
AV10,12853049,UC,UC,CD Turbaco
AV47,14127038,UC,UC,CD Sibate
AV20,10391423,UC,UC,CD Cucuta
AV11,12398662,UC,UC,CD Santa Marta
AV24,13514206,UC,UC,CD Yopal
AV25,12128206,UC,UC,CD Honda
AV20,13981885,UC,UC,CD Cucuta
AV30,10272423,UC,UC,CD Riohacha
AV37,13840017,UC,UC,CD Barrancabermeja
AV25,14148920,UC,UC,CD Honda
AV04,13223051,UC,UC,CD Tibasosa
AV46,11357887,UC,UC,CD Cali
AV49,11775959,UC,UC,CD Metroparque
AV20,10392122,UC,UC,CD Cucuta
AV55,12862402,UC,UC,CD Girardota
AV47,12727749,UC,UC,CD Sibate
AV06,13989617,UC,UC,CD Tocancipa
AV10,12513042,UC,UC,CD Turbaco
AV20,12525854,UC,UC,CD Cucuta
AV19,13972018,UC,UC,CD Villavicencio
AV42,13968527,UC,UC,CD Tunja
AV11,10151372,KA,UC,CD Santa Marta
AV23,12635805,UC,UC,CD Bucaramanga
AV22,12819703,UC,UC,CD Armenia
AV49,14164277,UC,UC,CD Metroparque
AV30,13753753,UC,UC,CD Riohacha
AV42,10294536,UC,UC,CD Tunja
AV24,13953259,UC,UC,CD Yopal
AV36,11723101,UC,UC,CD Fonseca
AV10,11545154,UC,UC,CD Turbaco
AV78,13041306,UC,UC,CD Montevideo
AV30,10271527,UC,UC,CD Riohacha
AV50,10588106,UC,UC,CD Siberia
AV12,11459181,UC,UC,CD Valledupar
AV35,12692205,UC,UC,CD San Gil
AV10,13382252,UC,UC,CD Turbaco
AV20,11524928,UC,UC,CD Cucuta
AV49,13930371,UC,UC,CD Metroparque
AV26,11434863,UC,UC,CD Autosur
AV47,12601396,UD DSD,UD DSD,CD Sibate
AV71,13039478,UC,UC,CD Chapinero UDC
AV19,13182816,UC,UC,CD Villavicencio
AV20,13685180,UC,UC,CD Cucuta
AV78,11251725,UC,UC,CD Montevideo
AV46,11528007,UD DSD,UD DSD,CD Cali
AV36,10268626,UC,UC,CD Fonseca
AV36,12759421,UC,UC,CD Fonseca
AV10,10961763,UC,UC,CD Turbaco
AV46,11192199,UD DSD,UD DSD,CD Cali
AV78,14094921,UC,UC,CD Montevideo
AV46,13501510,UC,UC,CD Cali
AV50,10791248,KA,UC,CD Siberia
AV13,10156876,UC,UC,CD Corozal
AV26,10989591,UC,UC,CD Autosur
AV73,12947046,UC,UC,CD El Jardin UDC
AV50,14121530,UC,UC,CD Siberia
AV42,13321748,UC,UC,CD Tunja
AV20,12859125,UC,UC,CD Cucuta
AV35,12874309,UC,UC,CD San Gil
AV78,13223001,UC,UC,CD Montevideo
AV17,13224462,UC,UC,CD Girardot
AV78,13853682,UC,UC,CD Montevideo
AV33,14084592,UC,UC,CD Aguachica
AV20,12685272,UC,UC,CD Cucuta
AV69,10307565,UC,UC,CD CAR Torices UDC
AV34,14157214,UC,UC,CD Puente Nacional
AV06,11338554,UC,UC,CD Tocancipa
AV18,11045956,UC,UC,CD Neiva
AV19,13978272,UC,UC,CD Villavicencio
AV26,10751754,UC,UC,CD Autosur
AV16,13855672,UC,UC,CD Pereira
AV17,10346464,UC,UC,CD Girardot
AV19,11672680,UC,UC,CD Villavicencio
AV16,10427310,UC,UC,CD Pereira
AV47,12588280,UC,UC,CD Sibate
AV04,14106514,UC,UC,CD Tibasosa
AV23,10460968,UC,UC,CD Bucaramanga
AV26,10746409,UC,UC,CD Autosur
AV10,13523960,UC,UC,CD Turbaco
AV20,12991110,UC,UC,CD Cucuta
AV49,12154246,UC,UC,CD Metroparque
AV25,13745103,UC,UC,CD Honda
AV39,12930138,UC,UC,CD Monteria
AV16,12546051,UC,UC,CD Pereira
AV16,10430463,UC,UC,CD Pereira
AV39,12768032,UC,UC,CD Monteria
AV05,14133808,UC,UC,CD Itagüi
AV17,12189019,UC,UC,CD Girardot
AV47,14127436,UC,UC,CD Sibate
AV54,12553418,UC,UC,CD Engativa UDC
AV50,10598652,UC,UC,CD Siberia
AV16,13720912,UC,UC,CD Pereira
AV20,10387182,UC,UC,CD Cucuta
AV10,12527560,UC,UC,CD Turbaco
AV04,12108781,UC,UC,CD Tibasosa
AV26,10742708,UC,UC,CD Autosur
AV55,13011005,UC,UC,CD Girardota
AV74,12591380,UC,UC,CD La arenosa
AV04,12872322,UC,UC,CD Tibasosa
AV27,14119067,UC,UC,CD Ibague
AV55,13021462,UC,UC,CD Girardota
AV36,13730273,UC,UC,CD Fonseca
AV50,13888435,UC,UC,CD Siberia
AV19,12528326,UC,UC,CD Villavicencio
AV78,11688891,UC,UC,CD Montevideo
AV23,14028817,UC,UC,CD Bucaramanga
AV78,11389097,UC,UC,CD Montevideo
AV50,13853694,UC,UC,CD Siberia
AV17,10340890,UC,UC,CD Girardot
AV50,11222856,UC,UC,CD Siberia
AV55,12560414,UC,UC,CD Girardota
AV78,11524980,UC,UC,CD Montevideo
AV20,10373025,UC,UC,CD Cucuta
AV37,11737321,UC,UC,CD Barrancabermeja
AV06,11391059,UC,UC,CD Tocancipa
AV19,13983316,UC,UC,CD Villavicencio
AV18,14084135,UC,UC,CD Neiva
AV55,12866103,UC,UC,CD Girardota
AV12,12298024,UC,UC,CD Valledupar
AV16,14199234,KA,KA,CD Pereira
AV50,14138159,UC,UC,CD Siberia
AV47,12977357,UC,UC,CD Sibate
AV46,13506493,UC,UC,CD Cali
AV13,13942502,KA,UC,CD Corozal
AV42,12308388,UC,UC,CD Tunja
AV42,13037439,UC,UC,CD Tunja
AV49,14137491,UC,UC,CD Metroparque
AV24,13808946,UC,UC,CD Yopal
AV42,12221826,UC,UC,CD Tunja
AV46,14047377,UC,UC,CD Cali
AV55,12446987,UC,UC,CD Girardota
AV52,12528415,UC,UC,CD Aranjuez UDC
AV16,11396675,UC,UC,CD Pereira
AV10,12684343,UC,UC,CD Turbaco
AV50,12737615,UC,UC,CD Siberia
AV20,12550994,UC,UC,CD Cucuta
AV05,14144342,UC,UC,CD Itagüi
AV23,13015600,UC,UC,CD Bucaramanga
AV16,12399314,UC,UC,CD Pereira
AV55,14145368,UC,UC,CD Girardota
AV42,10290010,UC,UC,CD Tunja
AV17,10340772,UC,UC,CD Girardot
AV23,10463037,UC,UC,CD Bucaramanga
AV48,11302788,KA,KA,CD Turbaco
AV23,14150114,UC,UC,CD Bucaramanga
AV46,13077787,UD DSD,UD DSD,CD Cali
AV13,10161517,UC,UC,CD Corozal
AV06,10484865,UC,UC,CD Tocancipa
AV17,12848065,UC,UC,CD Girardot
AV26,12740498,UC,UC,CD Autosur
AV23,11449869,UC,UC,CD Bucaramanga
AV30,10274233,UC,UC,CD Riohacha
AV26,12594036,UC,UC,CD Autosur
AV40,12454613,UC,UC,CD Caucasia
AV32,13667184,UC,UC,CD Magangue
AV42,11470897,UC,UC,CD Tunja
AV24,11010679,UC,UC,CD Yopal
AV34,12940420,UC,UC,CD Puente Nacional
AV20,13838489,UC,UC,CD Cucuta
AV11,14050152,UC,UC,CD Santa Marta
AV50,13406335,UC,UC,CD Siberia
AV12,13743393,UC,UC,CD Valledupar
AV42,13813361,UC,UC,CD Tunja
AV50,13975398,UC,UC,CD Siberia
AV72,14121067,UC,UC,CD Cenfer UDC
AV50,11353398,UC,UC,CD Siberia
AV16,12431925,UC,UC,CD Pereira
AV70,13485508,UC,UC,CD Envigado UDC
AV17,13529003,UC,UC,CD Girardot
AV26,10744917,UC,UC,CD Autosur
AV20,13543699,UC,UC,CD Cucuta
AV46,11518170,UC,UC,CD Cali
AV16,13111720,UC,UC,CD Pereira
AV53,11163777,UC,UC,CD Bosa UDC
AV50,13052182,UC,UC,CD Siberia
AV20,13058565,UC,UC,CD Cucuta
AV26,10744502,UC,UC,CD Autosur
AV22,13487896,UC,UC,CD Armenia
AV10,12964641,UC,UC,CD Turbaco
AV39,12119388,UC,UC,CD Monteria
AV46,12840394,UC,UC,CD Cali
AV18,12534043,UC,UC,CD Neiva
AV25,10344805,UC,UC,CD Honda
AV10,12902313,UC,UC,CD Turbaco
AV42,11422529,UC,UC,CD Tunja
AV18,14108808,UC,UC,CD Neiva
AV46,13398342,UC,UC,CD Cali
AV35,13931456,UC,UC,CD San Gil
AV20,11285648,UC,UC,CD Cucuta
AV47,12945625,UC,UC,CD Sibate
AV37,12937940,UC,UC,CD Barrancabermeja
AV25,12157327,UC,UC,CD Honda
AV66,12212046,UC,UC,CD Chiquinquira
AV26,13001703,UC,UC,CD Autosur
AV05,13947495,UC,UC,CD Itagüi
AV53,11548763,UC,UC,CD Bosa UDC
AV26,14028867,UC,UC,CD Autosur
AV55,12139209,KA,UC,CD Girardota
AV68,13173640,UC,UC,CD Bodega MKP Tocancipá
AV12,12635767,UC,UC,CD Valledupar
AV16,14148856,UC,UC,CD Pereira
AV13,11670336,UC,UC,CD Corozal
AV18,11743430,UC,UC,CD Neiva
AV27,10328869,UC,UC,CD Ibague
AV74,13482884,UC,UC,CD La arenosa
AV10,13406228,UC,UC,CD Turbaco
AV30,12515021,UC,UC,CD Riohacha
AV52,13739957,UC,UC,CD Aranjuez UDC
AV15,11753541,UC,UC,CD Pasto
AV11,11297455,UC,UC,CD Santa Marta
AV10,13249315,UC,UC,CD Turbaco
AV39,12485050,UC,UC,CD Monteria
AV04,11620455,UC,UC,CD Tibasosa
AV19,14097458,UC,UC,CD Villavicencio
AV17,13117615,UC,UC,CD Girardot
AV47,12152612,UC,UC,CD Sibate
AV05,13978452,KA,KA,CD Itagüi
AV46,14098532,UD DSD,UD DSD,CD Cali
AV37,11469030,UC,UC,CD Barrancabermeja
AV06,14118666,UC,UC,CD Tocancipa
AV54,13443598,UC,UC,CD Engativa UDC
AV26,13654954,UC,UC,CD Autosur
AV46,10889238,UC,UC,CD Cali
AV19,13716607,UC,UC,CD Villavicencio
AV11,11447450,UC,UC,CD Santa Marta
AV24,14100508,UC,UC,CD Yopal
AV06,12257139,UC,UC,CD Tocancipa
AV50,11266865,UC,UC,CD Siberia
AV13,10812032,UC,UC,CD Corozal
AV26,11615142,UC,UC,CD Autosur
AV33,13740594,UC,UC,CD Aguachica
AV71,13187478,UC,UC,CD Chapinero UDC
AV42,12875931,UC,UC,CD Tunja
AV37,11445448,UC,UC,CD Barrancabermeja
AV20,13733800,UC,UC,CD Cucuta
AV06,14096453,UC,UC,CD Tocancipa
AV26,12947037,UC,UC,CD Autosur
AV17,11575073,UC,UC,CD Girardot
AV11,12602297,UC,UC,CD Santa Marta
AV28,14108706,UC,UC,CD Popayan
AV13,13494980,UC,UC,CD Corozal
AV35,10789329,UC,UC,CD San Gil
AV54,14016963,UC,UC,CD Engativa UDC
AV19,12115008,UC,UC,CD Villavicencio
AV27,11325238,UC,UC,CD Ibague
AV25,14113976,UC,UC,CD Honda
AV26,12689567,UC,UC,CD Autosur
AV55,11751646,UC,UC,CD Girardota
AV78,10585990,UC,UC,CD Montevideo
AV39,13947519,UC,UC,CD Monteria
AV46,10891079,UD DSD,UD DSD,CD Cali
AV46,11393494,UD DSD,UD DSD,CD Cali
AV06,10589749,UC,UC,CD Tocancipa
AV50,12600649,UC,UC,CD Siberia
AV53,13861220,UC,UC,CD Bosa UDC
AV71,11219738,UC,UC,CD Chapinero UDC
AV47,10766461,UC,UC,CD Sibate
AV19,12548629,UC,UC,CD Villavicencio
AV15,10443556,UC,UC,CD Pasto
AV17,11734835,UC,UC,CD Girardot
AV46,12577912,UC,UC,CD Cali
AV34,13515544,UC,UC,CD Puente Nacional
AV20,11742903,UC,UC,CD Cucuta
AV15,10433551,UC,UC,CD Pasto
AV78,12437382,UC,UC,CD Montevideo
AV39,13518053,UC,UC,CD Monteria
AV23,11183662,UC,UC,CD Bucaramanga
AV06,10590868,UC,UC,CD Tocancipa
AV23,12227169,UC,UC,CD Bucaramanga
AV55,11502566,UC,UC,CD Girardota
AV18,12742170,UC,UC,CD Neiva
AV47,13037140,UC,UC,CD Sibate
AV26,14151288,UC,UC,CD Autosur
AV39,10498811,UC,UC,CD Monteria
AV35,11634168,UC,UC,CD San Gil
AV04,10281046,UC,UC,CD Tibasosa
AV16,12282857,UC,UC,CD Pereira
AV16,11780404,UC,UC,CD Pereira
AV06,11576769,UC,UC,CD Tocancipa
AV19,12735005,UC,UC,CD Villavicencio
AV04,12284446,UC,UC,CD Tibasosa
AV26,12612902,UC,UC,CD Autosur
AV04,12458033,UC,UC,CD Tibasosa
AV74,13498000,UC,UC,CD La arenosa
AV19,11739250,UC,UC,CD Villavicencio
AV04,11151162,UC,UC,CD Tibasosa
AV50,10630190,UC,UC,CD Siberia
AV47,12797720,UC,UC,CD Sibate
AV02,12937830,KA,KA,CD Bucaramanga
AV47,12640513,UC,UC,CD Sibate
AV28,14120546,UC,UC,CD Popayan
AV17,12589930,UC,UC,CD Girardot
AV06,14113558,UC,UC,CD Tocancipa
AV19,12269806,UC,UC,CD Villavicencio
AV26,12632902,UC,UC,CD Autosur
AV20,13979445,KA,UC,CD Cucuta
AV47,10770779,UC,UC,CD Sibate
AV35,10784789,UC,UC,CD San Gil
AV16,13054560,KA,KA,CD Pereira
AV50,11281243,UC,UC,CD Siberia
AV20,11149713,UC,UC,CD Cucuta
AV26,12952905,UC,UC,CD Autosur
AV49,12682462,UC,UC,CD Metroparque
AV20,12262456,UC,UC,CD Cucuta
AV11,10148822,UC,UC,CD Santa Marta
AV47,12945268,UC,UC,CD Sibate
AV04,14125255,UC,UC,CD Tibasosa
AV04,14151661,UC,UC,CD Tibasosa
AV78,10584473,UC,UC,CD Montevideo
AV05,12480854,UC,UC,CD Itagüi
AV18,13243708,UC,UC,CD Neiva
AV25,11791312,UC,UC,CD Honda
AV66,11511550,UC,UC,CD Chiquinquira
AV17,11266931,UC,UC,CD Girardot
AV78,12888049,UC,UC,CD Montevideo
AV15,12291534,Socios,Socios,CD Pasto
AV46,13408751,UC,UC,CD Cali
AV36,12949945,UC,UC,CD Fonseca
AV10,12908947,UC,UC,CD Turbaco
AV10,12554375,UC,UC,CD Turbaco
AV57,12211331,UC,UC,CD Tulua
AV15,12745430,UC,UC,CD Pasto
AV11,12586862,UC,UC,CD Santa Marta
AV42,12258575,UC,UC,CD Tunja
AV15,10450691,UC,UC,CD Pasto
AV46,10886183,UD DSD,UD DSD,CD Cali
AV18,11747020,UC,UC,CD Neiva
AV04,10302566,UC,UC,CD Tibasosa
AV24,12536928,UC,UC,CD Yopal
AV37,14019297,UC,UC,CD Barrancabermeja
AV16,14023132,UC,UC,CD Pereira
AV06,13881438,UC,UC,CD Tocancipa
AV22,14097063,UC,UC,CD Armenia
AV55,11459447,UC,UC,CD Girardota
AV04,11129235,UC,UC,CD Tibasosa
AV12,13652507,UC,UC,CD Valledupar
AV70,14111873,UC,UC,CD Envigado UDC
